開始日,終了日,実行ID,取引ID,段階,種別,in時刻,in価格,ロット
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0131,1,初回,2025-12-18 22:30:03.672000,155.37700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0132,1,初回,2025-12-18 23:10:51.784000,155.37700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0133,1,初回,2025-12-19 02:16:01.624000,155.66300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0134,1,初回,2025-12-19 11:57:01.425000,155.83500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0135,1,初回,2025-12-19 12:21:34.120000,155.92200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0136,1,初回,2025-12-19 12:21:31.130000,155.92800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0137,1,初回,2025-12-19 12:21:38.719000,155.94700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0138,1,初回,2025-12-19 12:21:38.773000,155.96000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0139,1,初回,2025-12-19 12:21:53.973000,156.02700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0140,1,初回,2025-12-19 12:22:06.415000,156.13700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0141,1,初回,2025-12-19 12:52:31.512000,155.95600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0142,1,初回,2025-12-19 14:00:16.991000,156.05700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0143,1,初回,2025-12-19 15:39:51.129000,156.13300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0144,1,初回,2025-12-19 16:50:37.720000,156.64500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0145,1,初回,2025-12-19 17:02:33.107000,156.85600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0146,1,初回,2025-12-19 17:56:24.128000,156.91100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0147,1,初回,2025-12-19 17:56:24.501000,156.91400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0148,1,初回,2025-12-19 17:56:24.919000,156.91300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0149,1,初回,2025-12-19 17:56:45.116000,156.92300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0150,1,初回,2025-12-19 21:03:10.436000,157.35000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0151,1,初回,2025-12-19 22:21:31.214000,157.37000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0152,1,初回,2025-12-19 23:47:45.822000,157.35500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0153,1,初回,2025-12-20 02:03:00.441000,157.45900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0154,1,初回,2025-12-22 11:39:00.492000,157.35700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0155,1,初回,2025-12-22 11:39:01.329000,157.35700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0156,1,初回,2025-12-22 13:46:46.284000,157.26800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0157,1,初回,2025-12-22 16:17:30.975000,157.44100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0158,1,初回,2025-12-22 18:02:05.636000,157.53200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0159,1,初回,2025-12-22 18:03:09.331000,157.52100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0160,1,初回,2025-12-22 22:10:03.699000,157.14700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0161,1,初回,2025-12-22 22:24:14.556000,157.29300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0162,1,初回,2025-12-22 22:28:13.053000,157.29000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0163,1,初回,2025-12-23 00:57:41.630000,156.94700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0164,1,初回,2025-12-23 01:15:02.626000,156.90500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0165,1,初回,2025-12-23 18:00:03.941000,155.94700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0166,1,初回,2025-12-23 18:03:52.030000,155.77000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0167,1,初回,2025-12-23 22:30:03.406000,156.03500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0168,1,初回,2025-12-23 22:03:27.155000,156.08700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0169,1,初回,2025-12-23 22:30:44.145000,156.15800,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0170,1,初回,2025-12-24 00:01:32.929000,156.33400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0171,1,初回,2025-12-24 01:06:00.225000,156.41900,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0172,1,初回,2025-12-24 11:17:06.184000,155.69100,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0173,1,初回,2025-12-24 11:16:58.475000,155.69000,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0174,1,初回,2025-12-24 18:05:26.658000,155.70200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0175,1,初回,2025-12-24 19:45:13.749000,155.94200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0176,1,初回,2025-12-24 21:57:45.578000,156.03500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0177,1,初回,2025-12-24 23:54:59.196000,155.72600,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0178,1,初回,2025-12-24 23:55:00.838000,155.72400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0179,1,初回,2025-12-25 02:46:58.634000,156.00300,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0180,1,初回,2025-12-25 11:18:38.035000,155.70500,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0181,1,初回,2025-12-25 11:20:32.776000,155.70200,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0182,1,初回,2025-12-25 11:22:32.346000,155.70700,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0183,1,初回,2025-12-25 13:05:48.301000,155.60400,1.00
2025-12-01,2025-12-31,20260209_124304,20260209_124304-0184,1,初回,2025-12-25 14:14:08.365000,155.48200,1.00
